Numeric:   Analytic:  Relative Error:
0.279284   0.279284   8.33127e-08
0.279867   0.279867   8.33127e-08
0.280448   0.280448   8.33127e-08
0.281029   0.281029   8.33127e-08
0.281609   0.281609   8.33127e-08
0.282188   0.282188   8.33127e-08
0.282767   0.282767   8.33127e-08
0.283345   0.283345   8.33127e-08
0.283922   0.283922   8.33127e-08
0.284499   0.284499   8.33127e-08
0.285075   0.285075   8.33127e-08
0.28565   0.28565   8.33127e-08
0.286225   0.286225   8.33127e-08
0.286799   0.286799   8.33127e-08
0.287372   0.287372   8.33127e-08
0.287945   0.287945   8.33127e-08
0.288517   0.288517   8.33127e-08
0.289088   0.289088   8.33127e-08
0.289659   0.289659   8.33127e-08
0.290229   0.290229   8.33127e-08
0.290798   0.290798   8.33127e-08
0.291367   0.291367   8.33127e-08
0.291935   0.291935   8.33127e-08
0.292502   0.292502   8.33127e-08
0.293069   0.293069   8.33127e-08
0.293635   0.293635   8.33127e-08
0.2942   0.2942   8.33126e-08
0.294765   0.294765   8.33126e-08
0.295328   0.295329   8.33126e-08
0.295892   0.295892   8.33126e-08
0.296454   0.296454   8.33126e-08
0.297016   0.297016   8.33126e-08
0.297578   0.297578   8.33126e-08
0.298138   0.298138   8.33126e-08
0.298698   0.298698   8.33126e-08
0.299258   0.299258   8.33126e-08
0.299816   0.299816   8.33126e-08
0.300374   0.300374   8.33126e-08
0.300932   0.300932   8.33126e-08
0.301488   0.301488   8.33126e-08
0.302044   0.302044   8.33126e-08
0.3026   0.3026   8.33126e-08
0.303155   0.303155   8.33126e-08
0.303709   0.303709   8.33126e-08
0.304262   0.304262   8.33126e-08
0.304815   0.304815   8.33126e-08
0.305367   0.305367   8.33126e-08
0.305918   0.305918   8.33126e-08
0.306469   0.306469   8.33126e-08
0.307019   0.307019   8.33126e-08
0.307569   0.307569   8.33126e-08
0.308118   0.308118   8.33126e-08
0.308666   0.308666   8.33126e-08
0.309213   0.309214   8.33126e-08
0.30976   0.30976   8.33126e-08
0.310307   0.310307   8.33126e-08
0.310852   0.310852   8.33126e-08
0.311397   0.311397   8.33126e-08
0.311942   0.311942   8.33126e-08
0.312485   0.312485   8.33126e-08
0.313028   0.313028   8.33126e-08
0.313571   0.313571   8.33126e-08
0.314113   0.314113   8.33126e-08
0.314654   0.314654   8.33126e-08
0.315194   0.315194   8.33126e-08
0.315734   0.315734   8.33126e-08
0.316273   0.316273   8.33126e-08
0.316812   0.316812   8.33126e-08
0.31735   0.31735   8.33126e-08
0.317887   0.317887   8.33126e-08
0.318424   0.318424   8.33126e-08
0.31896   0.31896   8.33126e-08
0.319495   0.319495   8.33126e-08
0.32003   0.32003   8.33126e-08
0.320564   0.320564   8.33126e-08
0.321097   0.321097   8.33125e-08
0.32163   0.32163   8.33125e-08
0.322162   0.322162   8.33125e-08
0.322694   0.322694   8.33125e-08
0.323225   0.323225   8.33125e-08
0.323755   0.323755   8.33125e-08
0.324285   0.324285   8.33125e-08
0.324814   0.324814   8.33125e-08
0.325342   0.325342   8.33125e-08
0.32587   0.32587   8.33125e-08
0.326397   0.326397   8.33125e-08
0.326924   0.326924   8.33125e-08
0.32745   0.32745   8.33125e-08
0.327975   0.327975   8.33125e-08
0.3285   0.3285   8.33125e-08
0.329024   0.329024   8.33125e-08
0.329547   0.329547   8.33125e-08
0.33007   0.33007   8.33125e-08
0.330592   0.330592   8.33125e-08
0.331114   0.331114   8.33125e-08
0.331635   0.331635   8.33125e-08
0.332155   0.332155   8.33125e-08
0.332675   0.332675   8.33125e-08
0.333194   0.333194   8.33125e-08
0.333712   0.333712   8.33125e-08
0.33423   0.33423   8.33125e-08
0.334747   0.334747   8.33125e-08
0.335264   0.335264   8.33125e-08
0.33578   0.33578   8.33125e-08
0.336295   0.336295   8.33125e-08
0.33681   0.33681   8.33125e-08
0.337324   0.337324   8.33125e-08
0.337838   0.337838   8.33125e-08
0.338351   0.338351   8.33125e-08
0.338863   0.338863   8.33125e-08
0.339375   0.339375   8.33125e-08
0.339886   0.339886   8.33125e-08
0.340396   0.340396   8.33125e-08
0.340906   0.340906   8.33125e-08
0.341415   0.341415   8.33125e-08
0.341924   0.341924   8.33125e-08
0.342432   0.342432   8.33125e-08
0.342939   0.342939   8.33125e-08
0.343446   0.343446   8.33125e-08
0.343952   0.343952   8.33125e-08
0.344458   0.344458   8.33125e-08
0.344963   0.344963   8.33124e-08
0.345467   0.345467   8.33124e-08
0.345971   0.345971   8.33124e-08
0.346474   0.346474   8.33124e-08
0.346977   0.346977   8.33124e-08
0.347479   0.347479   8.33124e-08
0.34798   0.34798   8.33124e-08
0.348481   0.348481   8.33124e-08
0.348981   0.348981   8.33124e-08
0.349481   0.349481   8.33124e-08
0.34998   0.34998   8.33124e-08
0.350478   0.350478   8.33124e-08
0.350976   0.350976   8.33124e-08
0.351473   0.351473   8.33124e-08
0.35197   0.35197   8.33124e-08
0.352466   0.352466   8.33124e-08
0.352961   0.352961   8.33124e-08
0.353456   0.353456   8.33124e-08
0.35395   0.35395   8.33124e-08
0.354444   0.354444   8.33124e-08
0.354937   0.354937   8.33124e-08
0.355429   0.355429   8.33124e-08
0.355921   0.355921   8.33124e-08
0.356412   0.356412   8.33124e-08
0.356903   0.356903   8.33124e-08
0.357393   0.357393   8.33124e-08
0.357883   0.357883   8.33124e-08
0.358372   0.358372   8.33124e-08
0.35886   0.35886   8.33123e-08
0.359348   0.359348   8.33123e-08
0.359835   0.359835   8.33123e-08
0.360321   0.360321   8.33123e-08
0.360807   0.360807   8.33123e-08
0.361292   0.361293   8.33123e-08
0.361777   0.361777   8.33123e-08
0.362261   0.362261   8.33123e-08
0.362745   0.362745   8.33123e-08
0.363228   0.363228   8.33123e-08
0.363711   0.363711   8.33123e-08
0.364192   0.364192   8.33123e-08
0.364674   0.364674   8.33123e-08
0.365154   0.365154   8.33123e-08
0.365635   0.365635   8.33123e-08
0.366114   0.366114   8.33123e-08
0.366593   0.366593   8.33123e-08
0.367071   0.367071   8.33123e-08
0.367549   0.367549   8.33123e-08
0.368026   0.368026   8.33123e-08
0.368503   0.368503   8.33123e-08
0.368979   0.368979   8.33123e-08
0.369455   0.369455   8.33123e-08
0.36993   0.36993   8.33123e-08
0.370404   0.370404   8.33123e-08
0.370878   0.370878   8.33123e-08
0.371351   0.371351   8.33123e-08
0.371824   0.371824   8.33122e-08
0.372296   0.372296   8.33122e-08
0.372767   0.372767   8.33122e-08
0.373238   0.373238   8.33122e-08
0.373708   0.373708   8.33122e-08
0.374178   0.374178   8.33122e-08
0.374647   0.374647   8.33122e-08
0.375116   0.375116   8.33122e-08
0.375584   0.375584   8.33122e-08
0.376051   0.376052   8.33122e-08
0.376518   0.376518   8.33122e-08
0.376985   0.376985   8.33122e-08
0.377451   0.377451   8.33122e-08
0.377916   0.377916   8.33122e-08
0.37838   0.378381   8.33122e-08
0.378845   0.378845   8.33122e-08
0.379308   0.379308   8.33122e-08
0.379771   0.379771   8.33122e-08
0.380234   0.380234   8.33122e-08
0.380695   0.380695   8.33122e-08
0.381157   0.381157   8.33122e-08
0.381617   0.381617   8.33122e-08
0.382078   0.382078   8.33122e-08
0.382537   0.382537   8.33122e-08
0.382996   0.382996   8.33121e-08
0.383455   0.383455   8.33121e-08
0.383913   0.383913   8.33121e-08
0.38437   0.38437   8.33121e-08
0.384827   0.384827   8.33121e-08
0.385283   0.385283   8.33121e-08
0.385739   0.385739   8.33121e-08
0.386194   0.386194   8.33121e-08
0.386649   0.386649   8.33121e-08
0.387103   0.387103   8.33121e-08
0.387556   0.387556   8.33121e-08
0.388009   0.388009   8.33121e-08
0.388461   0.388461   8.33121e-08
0.388913   0.388913   8.33121e-08
0.389365   0.389365   8.33121e-08
0.389815   0.389815   8.33121e-08
0.390265   0.390265   8.33121e-08
0.390715   0.390715   8.33121e-08
0.391164   0.391164   8.33121e-08
0.391613   0.391613   8.33121e-08
0.392061   0.392061   8.33121e-08
0.392508   0.392508   8.33121e-08
0.392955   0.392955   8.33121e-08
0.393401   0.393401   8.33121e-08
0.393847   0.393847   8.33121e-08
0.394292   0.394292   8.33121e-08
0.394737   0.394737   8.3312e-08
0.395181   0.395181   8.3312e-08
0.395625   0.395625   8.3312e-08
0.396068   0.396068   8.3312e-08
0.39651   0.39651   8.3312e-08
0.396952   0.396952   8.3312e-08
0.397394   0.397394   8.3312e-08
0.397835   0.397835   8.3312e-08
0.398275   0.398275   8.3312e-08
0.398715   0.398715   8.3312e-08
0.399154   0.399154   8.3312e-08
0.399593   0.399593   8.3312e-08
0.400031   0.400031   8.3312e-08
0.400469   0.400469   8.3312e-08
0.400906   0.400906   8.3312e-08
0.401343   0.401343   8.3312e-08
0.401779   0.401779   8.3312e-08
0.402214   0.402214   8.3312e-08
0.402649   0.402649   8.3312e-08
0.403084   0.403084   8.3312e-08
